;naam;straatnaam;nummeraanduiding;postcode;plaatsnaam;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES
BevoegdGezag;Naam;Straatnaam;Adres;Adres;Adres;Adres;Adres;BevoegdGezag;BevoegdGezag;BevoegdGezag
35218;Ver Chr Inst Gr v Pr;Dalweg;11;1217 HX;HILVERSUM;402;HILVERSUM;Protestants-Christelijk;          ;www.degroenvanprinsterer.nl
35297;Sticht. Rehobothscholen Uddel;Het Drie;21 -23;3888 KD;UDDEL;200;APELDOORN;Reformatorisch;577401424;                                                                                
35466;Stichting CBO Zeist e.o.;Laan van Vollenhove;3045;3706 AL;ZEIST;355;ZEIST;Protestants-Christelijk;306994259;www.cbozeist.nl
35504;Leeuwarder Schoolvereniging;Jelsumerstraat;10;8917 EN;LEEUWARDEN;80;LEEUWARDEN;Algemeen bijzonder;582126618;www.leeuwarderschoolvereniging.nl
35803;Ver. PC Basisonderwijs Pernis;Pastoriestraat;52;3195 HT;PERNIS ROTTERDAM;599;ROTTERDAM;Protestants-Christelijk;104168242;                                                                                
36063;Stg Insth Sch Bijbel Ommerkan;Ommerkanaal Oost;30;7731 TT;OMMEN;175;OMMEN;Protestants-Christelijk;523610058;                                                                                
36336;Stg Insth Sch md Bybel;Koolweg;9;6446 TM;BRUNSSUM;899;BRUNSSUM;Protestants-Christelijk;455216561;                                                                                
36349;Ver. Wilhelminascholen;Verdilaan;14-A;7002 LN;DOETINCHEM;222;DOETINCHEM;Protestants-Christelijk;314323384;www.wilhelminabasisschool.nl
36440;St. Alg. Basisonderw. Comenius;Celebesstraat;7;1782 TC;DEN HELDER;400;DEN HELDER;Algemeen bijzonder;223613864;www.abscomenius.nl
36479;Ver. Stg. Chr. Schol. te Gouda;Crabethpark;5;2801 AP;GOUDA;513;GOUDA;Protestants-Christelijk;182686715;                                                                                
36739;Ver. Voorbereidend Onderwijs;Rapenburg;129 -131;2311 GM;LEIDEN;546;LEIDEN;Algemeen bijzonder;715133631;www.haanstraschool.nl
36778;Ver Stg Insth Chr School;Houtweg;24 -26;8167 PL;OENE;232;EPE;Protestants-Christelijk;578641228;www.cbsoene.nl
36817;Ver. Montessorisch. Bilthoven;Rembrandtplein;1;3723 CH;BILTHOVEN;310;DE BILT;Algemeen bijzonder;          ;www.montessoribilthoven.nl
36831;Ver. Chr. Nat. Schoolonderwijs;Staphorster Kerkweg;38;7951 JS;STAPHORST;180;STAPHORST;Protestants-Christelijk;522461632;www.cnsstaphorst.nl
36908;VVOGG 's-Gravenpolder;Hazelaarstraat;5;4431 DT;'S-GRAVENPOLDER;654;BORSELE;Protestants-Christelijk;113311645;www.kon-julianaschool.nl
37012;Schoolver. Noord en omstreken;Zwarte Dijkje;31;7914 PB;NOORDSCHESCHUT;118;HOOGEVEEN;Algemeen bijzonder;528341496;www.hetblokland.nl
37038;Geref. Schoolver. Westerniel.;Aemckenheerd;2;9951 VZ;WINSUM GN;53;WINSUM;Protestants-Christelijk;595443326;www.gbsdewierde.nl
37233;Vereniging Hofdijckschool;Hazenboslaan;1;2341 SE;OEGSTGEEST;579;OEGSTGEEST;Protestants-Christelijk;715237614;www.hofdijckschool.nl
37299;Stg. Confessioneel Bas.onderw.;Breijdelstraat;2-A;4501 CT;OOSTBURG;1714;SLUIS;Samenwerking PC, RK;117452290;www.scoba.nl
37428;Ver. Chr. Nat. S.O. te Helmond;Koekoekstraat;1;5702 PM;HELMOND;794;HELMOND;Protestants-Christelijk;492525418;www.rankhelmond.nl
37519;Ver. Basisond. te Oldebroek;Tulpstraat;1-BG;8096 BV;OLDEBROEK;269;OLDEBROEK;Protestants-Christelijk;525631823;www.timotheusschool.nl
37545;Nieuwe Baarnsche School;Smutslaan;8;3743 CG;BAARN;308;BAARN;Algemeen bijzonder;355422315;www.nbsbaarn.nl
37571;De Bussumse Montessorisch.ver.;Busken Huetlaan;16;1401 BC;BUSSUM;381;BUSSUM;Algemeen bijzonder;356913684;www.bussumsemontessori.nl
37650;Stg. Kath. Ond. Midden-Twente;Meidoornhof;4;7621 CL;BORNE;147;BORNE;Rooms-Katholiek;742665501;www.stichtingkomt.nl
37663;Stichting Katholiek Onderwijs;Langeweg;205;6591 XB;GENNEP;907;GENNEP;Rooms-Katholiek;485540939;www.skomen.nl
37805;Sch. md Bijbel Bleskensgraaf;Korenbloemplaats;4;2971 BH;BLESKENSGRAAF CA;1927;MOLENWAARD;Protestants-Christelijk;184693237;                                                                                
37857;Ver. Stg. School met de Bijbel;Doelweijk;39;3264 AC;NIEUW-BEIJERLAND;588;KORENDIJK;Reformatorisch;186691904;www.schoolmetdebijbelnb.nl
37949;Ver. Prot. Chr. Prim. Onderw.;Achterom;70;2991 CV;BARENDRECHT;489;BARENDRECHT;Protestants-Christelijk;180620533;www.pcpobr.nl
38001;S K & K;Stationsplein;1;6602 BN;WIJCHEN;296;WIJCHEN;Samenwerking Opb., RK, Alg. Bi;246487890;www.kansenkleur.nl
38144;Ver. voor Prot. Chr. Onderwijs;Wabbe Wissesstrjitte;15;8401 RE;GORREDIJK;86;OPSTERLAND;Protestants-Christelijk;513466448;www.pcbs-librije.nl
38169;Stg. Neutr. Onderw. Wilhelmina;Bachlaan;9;5707 RM;HELMOND;794;HELMOND;Algemeen bijzonder;492590175;www.wilhelminaschool.nl
38222;Stg. Bel. 'Sch. Bijb.' Rhenen;Ruiterpad;83;3911 SK;RHENEN;340;RHENEN;Reformatorisch;317614388;                                                                                
38235;Sticht. schoolbestuur Laetare;Schoolstraat;2;7035 AR;KILDER;1955;MONTFERLAND;Rooms-Katholiek;314681943;www.bslaetare.nl
38351;Ver. Stg./school met de Bijbel;Prins Johan Frisostraat;3;2969 CB;OUD-ALBLAS;1927;MOLENWAARD;Protestants-Christelijk;184691963;www.cbs-oud-alblas.nl
38482;Ver. P.-C. Onderw. te Ommen eo;Sandbergstraat;2-a;7731 DG;OMMEN;175;OMMEN;Protestants-Christelijk;529451028;www.pco-ommen.nl
38559;Kerkr der Geref Gemeente;Kruiwiel;10;4191 TJ;GELDERMALSEN;236;GELDERMALSEN;Algemeen bijzonder;345580922;                                                                                
38650;Ver. Stg. Scholen Bijbel;Molenweg;69;6732 BJ;HARSKAMP;228;EDE;Protestants-Christelijk;318456606;www.dezaaierharskamp.nl
38819;Ver. Stg. Chr. Sch. Doornspijk;Dokter Bruinsweg;14;8085 BV;DOORNSPIJK;230;ELBURG;Protestants-Christelijk;525661294;                                                                                
38872;Ver. BSO Ref. Grondslag H'sum;Lieven de Keylaan;24;1222 LG;HILVERSUM;402;HILVERSUM;Reformatorisch;356479893;                                                                                
38910;Ver. tot het Verstr. van OGG;Van Duyvenvoordelaan;32;3341 GM;HENDRIK-IDO-AMBACHT;531;HENDRIK-IDO-AMBACHT;Protestants-Christelijk;786821525;www.kws-hia.nl
39001;Chr. Basisschool 'De Bornput';Moerdamme;26;4415 AP;OOSTDIJK;703;REIMERSWAAL;Protestants-Christelijk;113502168;                                                                                
39275;Ver. Verstr. Bas.ond. Ger. Gr.;Sportlaan;4;4251 GD;WERKENDAM;870;WERKENDAM;Protestants-Christelijk;183501984;www.groenewegenschool.nl
39352;Nut Geldrop;Beneden Beekloop;90;5662 HM;GELDROP;1771;GELDROP-MIERLO;Algemeen bijzonder;402863543;www.nutgeldrop.nl
39534;Stichting Kruislandse Scholen;Boonhil;2;4756 SN;KRUISLAND;851;STEENBERGEN;Rooms-Katholiek;167536094;                                                                                
39600;St. K./P. C. Bas.ond. Vught eo;Moleneindplein;9;5262 CW;VUGHT;865;VUGHT;Samenwerking PC, RK;736576868;www.leijestroom.nl
39859;Ver. Nutsschool Wassenaar;Zijllaan;39;2242 CA;WASSENAAR;629;WASSENAAR;Algemeen bijzonder;705114461;www.nutswassenaar.nl
39912;Stg. Onderw.gem.schap De Hoeve;Veenslagenweg;17;3871 NA;HOEVELAKEN;267;NIJKERK;Rooms-Katholiek;332536093;www.dehoeveschool.nl
40020;Stg. Onderwijsgr. Amstelland;Bouwerij;102;1185 XX;AMSTELVEEN;362;AMSTELVEEN;Samenwerking PC, RK;203454718;www.onderwijsgroepamstelland.nl
40048;Sticht. Islam. Basisscholen;Stadhouderslaan;1-B;2313 AB;LEIDEN;546;LEIDEN;Islamitisch;715128850;                                                                                
40077;Stichting Noor;Kingsfordweg;151;1043 GR;AMSTERDAM;363;AMSTERDAM;Islamitisch;204919662;www.noorscholen.nl
40114;Stichting Prisma;Louis Armstrongweg;120;1311 RL;ALMERE;34;ALMERE;Algemeen bijzonder;365346300;www.prisma-almere.nl
40144;Stg. Mont.school De Triangel;Zanddonk;1;6641 LT;BEUNINGEN GLD;209;BEUNINGEN;Algemeen bijzonder;246776817;www.triangel-beuningen.nl
40189;Ver Sch EBG Amsterdam;Kortvoort;61-C;1104 NA;AMSTERDAM ZUIDOOST;363;AMSTERDAM;Evangelische broedergemeenscha;206957178;                                                                                
40207;Stg. Montess.sch. Veenendaal;Duivenwal-west;300;3905 AV;VEENENDAAL;345;VEENENDAAL;Algemeen bijzonder;318540339;www.aandebasis.nl
40237;Stichting 5xO;Westfrankelandsestraat;152;3117 AZ;SCHIEDAM;606;SCHIEDAM;Protestants-Christelijk;104735052;www.verpcpo.com
40257;Stg. Bijz. Basisonderw. Velsen;Sluisplein;25;1975 AG;IJMUIDEN;453;VELSEN;Samenwerking PC, RK;255548850;www.stichtingbbv.nl
40269;Stg. Interconf. BO R'dam eo;Elzendaal;15;3075 LS;ROTTERDAM;599;ROTTERDAM;Algemeen bijzonder;104191300;                                                                                
40272;ISNO, Yunus Emre Den Haag;Mandelaplein;2;2572 HT;'S-GRAVENHAGE;518;S GRAVENHAGE;Islamitisch;703895376;www.bsyunusemre.nl
40278;Stichting Delta Onderwijs;Abdis van Thornstraat;76;4901 ZB;OOSTERHOUT NB;826;OOSTERHOUT;Rooms-Katholiek;162424551;www.delta-onderwijs.nl
40281;Stg. Jenapl. B.s. Vlinderbos;Veenweg;117-A;3648 HB;WILNIS;736;DE RONDE VENEN;Algemeen bijzonder;297257800;www.vlinderbos.nl
40284;Stg. Bas.sch. Icarus Heemstede;Kerklaan;90 -92;2101 HS;HEEMSTEDE;397;HEEMSTEDE;Algemeen bijzonder;235470982;www.icarusheemstede.nl
40292;Stg. Ond. op Reform. Grondsl.;Koraal;3;8271 KA;IJSSELMUIDEN;166;KAMPEN;Reformatorisch;383388823;                                                                                
40294;Sticht. Nederl. Islam. Scholen;Saaftingestraat;312;1069 BW;AMSTERDAM;363;AMSTERDAM;Islamitisch;206400982;www.elamien.nl
40301;Chr. Onderw. Valkenburg Z.H.;Broekweg;32;2235 BK;VALKENBURG ZH;537;KATWIJK;Protestants-Christelijk;714012814;www.cbsdeburcht.nl
40302;Ver. de Vrije School Wonnebald;Mozartlaan;189;2555 JK;'S-GRAVENHAGE;518;S GRAVENHAGE;Antroposofisch;703254818;www.vswonnebald.nl
40307;Stichting IBPL;Van Goyenstraat;13;6445 XJ;BRUNSSUM;899;BRUNSSUM;Islamitisch;455716152;                                                                                
40327;Ver. Onderwijs te Ridderkerk;Stadhouderslaan;27;2983 CP;RIDDERKERK;597;RIDDERKERK;Protestants-Christelijk;180432535;                                                                                
40329;Vereniging Ibogo;Kastanjelaan;3;3241 BH;MIDDELHARNIS;1924;GOEREE-OVERFLAKKEE;Algemeen bijzonder;187482980;www.daltonschool-middelharnis.nl
40340;De Vlissingse Schoolvereniging;Govert Flincklaan;1;4383 WB;VLISSINGEN;718;VLISSINGEN;Algemeen bijzonder;118415588;                                                                                
40342;Ver. Prot. Chr. Basisonderwijs;De Zanding;1;9201 BM;DRACHTEN;90;SMALLINGERLAND;Protestants-Christelijk;512305780;www.pco-smallingerland.nl
40350;Stg. Montessori Onderw. Houten;Korenmolen;2;3995 AH;HOUTEN;321;HOUTEN;Algemeen bijzonder;306340629;www.montessori-houten.nl
40355;VAB Montessoriond. Haaksbergen;Weertseriet;19;7481 BC;HAAKSBERGEN;158;HAAKSBERGEN;Algemeen bijzonder;          ;                                                                                
40363;Stg. Alg. Bijz. Onderw. Hoorn;Akkerwinde;57;1689 NV;ZWAAG;405;HOORN;Algemeen bijzonder;229232342;www.montessori-deflierefluiter.nl
40377;Sticht. Unicoz onderwijsgroep;Bredewater;4;2715 CA;ZOETERMEER;637;ZOETERMEER;Protestants-Christelijk;793208830;www.unicoz.nl
40378;Stg. Chr. Ond. Eindhov. e.o.;Vonderweg;12;5616 RM;EINDHOVEN;772;EINDHOVEN;Algemeen bijzonder;402595320;www.skpo.nl
40389;Stg. Islamit. Onderwijs Iqra;Hoogoord;257;1102 CN;AMSTERDAM ZUIDOOST;363;AMSTERDAM;Islamitisch;206960948;                                                                                
40390;SIOU;Marnixlaan;362;3552 HM;UTRECHT;344;UTRECHT;Islamitisch;302440720;www.aboedaoedschool.nl
40394;Stg. Chr. Scholen West-Betuwe;Horapark;3;6717 LZ;EDE GLD;228;EDE;Protestants-Christelijk;318675111;                                                                                
40400;Sticht. Islam. Scholen El-Amal;Slotermeerlaan;69-D;1064 HA;AMSTERDAM;363;AMSTERDAM;Islamitisch;206111222;www.elamal.nl
40419;St. verstr. ond. Ger. Grondsl.;Lijsterstraat;2;3772 AV;BARNEVELD;203;BARNEVELD;Algemeen bijzonder;          ;                                                                                
40508;Stg v Prot Chr Ondw te Katwijk;Schimmelpenninckstraat;2-a;2221 EP;KATWIJK ZH;537;KATWIJK;Protestants-Christelijk;714082504;www.stichtingpcok.nl
40514;Stichting De Kosmos;De Bovenkruier;1;3828 AR;HOOGLAND;307;AMERSFOORT;Algemeen bijzonder;334807515;www.dekosmos.nl
40517;Lowys Porquinstichting;Marslaan;1;4624 CT;BERGEN OP ZOOM;748;BERGEN OP ZOOM;Rooms-Katholiek;164230166;www.lowysporquin.nl
40524;Stg. Kath. Onderw. Tilburg ZO-;Dr. Hub van Doorneweg;91;5026 RB;TILBURG;855;TILBURG;Rooms-Katholiek;135452555;www.skotzo.nl
40530;SCO;Prinses Beatrixlaan;4;2404 XC;ALPHEN AAN DEN RIJN;484;ALPHEN AAN DEN RIJN;Protestants-Christelijk;172449500;www.scopescholen.nl
40535;Ver. School md Bijbel Stolwijk;Bilwijkerweg;6-a;2821 SB;STOLWIJK;623;VLIST;Protestants-Christelijk;182341448;www.ons-stolwijk.nl
40540;P.-C. Schoolver. Voorschoten;Leidseweg;546;2253 JR;VOORSCHOTEN;626;VOORSCHOTEN;Protestants-Christelijk;715790909;www.pcsv.nl
40546;SOM Oosterhout;Trekbeemd;34;4907 DP;OOSTERHOUT NB;826;OOSTERHOUT;Algemeen bijzonder;162470581;www.montessorischooloosterhout.nl/
40557;De Eenbes;Nieuwendijk;49-C;5664 HB;GELDROP;1771;GELDROP-MIERLO;Samenwerking PC, RK;402868115;www.eenbes.nl
40558;Stg. Montessorisch. Enkhuizen;Admiraliteitsweg;40;1601 ED;ENKHUIZEN;388;ENKHUIZEN;Algemeen bijzonder;          ;www.montessori-enkhuizen.nl
40581;Sticht. Interconf. BO Uithoorn;Arthur van Schendellaan;53-ktr.;1422 LB;UITHOORN;451;UITHOORN;Samenwerking PC, RK;297562713;www.icbo-uithoorn.nl
40586;Onderwijsstichting Esprit;Prinses Irenestraat;59;1077 WV;AMSTERDAM;363;AMSTERDAM;Algemeen bijzonder;205854811;www.espritscholen.nl
40632;Ver. Chr. Bas.ond. het Bildt;Beuckelaerstraat;2;9076 DA;ST.-ANNAPAROCHIE;63;HET BILDT;Protestants-Christelijk;518400394;                                                                                
40635;Ver. Chr. B.O. Kollumerland ca;Voorstraat;14;9291 CK;KOLLUM;79;KOLLUMERLAND CA;Protestants-Christelijk;511723033;www.vcbokollumerland.nl
40637;Stichting Nutsscholen Breda;Hooilaan;1;4816 EM;BREDA;758;BREDA;Algemeen bijzonder;765309224;www.nutsscholenbreda.nl
40648;Ver. P.C.B. Tytsjerksteradiel;Elte Martens Beimastr;11-A;9261 VG;EASTERMAR;737;TYTSJERKSTERADIEL;Protestants-Christelijk;512472594;www.pcbo-tytsjerksteradiel.nl
40653;Prot.-Chr. Schoolvereniging;Marienpoelstraat;4;2334 CZ;LEIDEN;546;LEIDEN;Protestants-Christelijk;715126341;www.pcsl.nl
40655;Ver. Prot. BO Hollandscheveld;De Stok;4;7913 RE;HOLLANDSCHEVELD;118;HOOGEVEEN;Protestants-Christelijk;528343291;www.pcbshetmozaiek.nl
40662;Stichting Aves;Jasmijnstraat;9;8302 CL;EMMELOORD;171;NOORDOOSTPOLDER;Samenwerking Opb., PC, RK;527249249;www.aves.nl
40667;Stg en Instandh Sch CNS;Papiermakerstraat;18-A;3881 BL;PUTTEN;273;PUTTEN;Protestants-Christelijk;341354445;                                                                                
40670;PERSPECTIEF;Alexander Gogelweg;65;4384 EV;VLISSINGEN;718;VLISSINGEN;Samenwerking PC, RK;118465261;www.perspectiefvlissingen.nl
40672;St.Initia,Kath.Prim.Ond.Dongen;Schoolstraat;2-a;5104 JN;DONGEN;766;DONGEN;Rooms-Katholiek;162310652;                                                                                
40681;Stichting Willem van Oranje;De Gaard;4;5146 AW;WAALWIJK;867;WAALWIJK;Protestants-Christelijk;416333069;www.het-willem.nl
40690;SPCOL;Emmalaan;64;3411 XJ;LOPIK;331;LOPIK;Protestants-Christelijk;348554080;www.spcol.nl
40701;St. Sam.werk. Kath. Bas.schol.;Kalfjeslaan;380;1081 JA;AMSTERDAM;363;AMSTERDAM;Rooms-Katholiek;203013888;www.askobk.nl
40706;Stichting St.-Christoffel;Kasteellaan;2;5281 CP;BOXTEL;757;BOXTEL;Rooms-Katholiek;411611641;www.st-christoffel.nl
40712;Stichting Tabijn;De Trompet;1960;1967 DB;HEEMSKERK;396;HEEMSKERK;Samenwerking PC, RK;251230082;www.tabijn.nl
40714;Stg. Alg. Bijz. BO 't Gooi;Oud-Bussummerweg;22;1401 SP;BUSSUM;381;BUSSUM;Algemeen bijzonder;356912698;www.vondelweb.nl
40717;Vereniging Suringar;Ellecuylgaard;106-A;6227 EC;MAASTRICHT;935;MAASTRICHT;Protestants-Christelijk;433472830;                                                                                
40720;St. Interc. PC RK Basisonderw.;van Limburg Stirumlaan;105;1411 BN;NAARDEN;425;NAARDEN;Samenwerking PC, RK;356943184;www.tweemaster.nl
40740;Algemen Hindoeschool;Mackaystraat;6;2571 AR;'S-GRAVENHAGE;518;S GRAVENHAGE;Hindoe‹stisch;703841924;www.vahon.nl
40745;Stg Kath & Opb Onderwijs;van Hogendorpweg;1;2253 VW;VOORSCHOTEN;626;VOORSCHOTEN;Samenwerking Opb., RK;715763580;                                                                                
40752;Stg. Bz. Scholen Alg. Grondsl.;Sint-Hubertpad;6;1066 HN;AMSTERDAM;363;AMSTERDAM;Algemeen bijzonder;204081571;www.zevensprong-amsterdam.nl
40753;Stg. Bijzond. Scholen voor OAG;Salamanderveen;352;3205 TG;SPIJKENISSE;612;SPIJKENISSE;Algemeen bijzonder;181621734;www.montessorischool-spijkenisse.nl
40765;De Groeiling;Aalberseplein;5;2805 EG;GOUDA;513;GOUDA;Rooms-Katholiek;182670051;www.degroeiling.nl
40774;St. PCO H'berg-Schiebroek;Hilleniussingel;23;3054 EX;ROTTERDAM;599;ROTTERDAM;Protestants-Christelijk;104187420;www.spcohs.nl
40775;Stg. Conf. Onderw. de la Salle;Cruquiusweg;42;2103 LT;HEEMSTEDE;397;HEEMSTEDE;Samenwerking PC, RK;235298988;www.stichtingdelasalle.nl
40777;Ver. Chr. Onderwijs Sliedrecht;Dr. Langeveldplein;30-b;3361 HE;SLIEDRECHT;610;SLIEDRECHT;Protestants-Christelijk;184499519;www.vcos.nl
40788;Stg. Chr. Bas.ond. Dongeradeel;Altenastreek;66;9101 BA;DOKKUM;58;DONGERADEEL;Protestants-Christelijk;519222045;www.pcbo-dongeradeel.nl
40789;Ver. P.C. B.o. Ferwerderadeel;Ringweg;21;9073 HG;MARRUM;1722;FERWERDERADIEL;Protestants-Christelijk;518400394;                                                                                
40790;Stg. Kath. Onderw. Mergelland;Oranjeplein;201;6224 KV;MAASTRICHT;935;MAASTRICHT;Rooms-Katholiek;434070290;www.sko-mergelland.nl
40794;Ver. Prot.-Chr. Onderw. Tholen;Molenvlietsedijk;3;4691 HS;THOLEN;716;THOLEN;Protestants-Christelijk;166603310;www.vpcotholen.nl
40803;Stichting Scholengroep LeerTij;Markt;1;4571 BG;AXEL;715;TERNEUZEN;Samenwerking Opb., PC, RK;114347880;www.leertij.nl
40804;Ver. interconfession. onderw.;Baron van der Heijdenln;1;7234 SB;WICHMOND;1876;BRONCKHORST;Samenwerking PC, RK;575441473;                                                                                
40812;Delta, stg. Kath./P.-C. p. o.;Koningstraat;27;6811 DG;ARNHEM;202;ARNHEM;Rooms-Katholiek;263890291;www.deltascholen.org
40814;STG. PRIMAIR ONDERWIJS CONDOR;Lindestraat;25;6573 XA;BEEK-UBBERGEN;282;UBBERGEN;Rooms-Katholiek;243737909;www.spocondor.nl
40829;Sticht. Nutsschool Wolfersveen;Palmberg;18;7021 DJ;ZELHEM;1876;BRONCKHORST;Algemeen bijzonder;314382990;www.ijsselgraaf.nl
40843;Ver. Prot. Chr. B.O. Rheden;Zwanensingel;5;6883 GE;VELP GLD;275;RHEDEN;Protestants-Christelijk;263637970;www.pcbo-rheden.nl
40848;Stg. kath/interc. PO Gem. S.M.;Schildershof;1-A;5271 BM;SINT-MICHIELSGESTEL;845;SINT-MICHIELSGESTEL;Rooms-Katholiek;735944328;www.skipos.nl
40862;Ver. voor Chr. Nat. Schoolond.;Papiermakerstraat;18-A;3881 BL;PUTTEN;273;PUTTEN;Protestants-Christelijk;341354445;                                                                                
40865;Ver. Jenaplanonderwijs Noord;Waterman;1;9602 MT;HOOGEZAND;18;HOOGEZAND-SAPPEMEER;Algemeen bijzonder;598323082;                                                                                
40874;Stichting SKOPOS;Putsteeg;2;5481 XT;SCHIJNDEL;844;SCHIJNDEL;Rooms-Katholiek;735432635;www.skoposschijndel.nl
40887;Ver. Stg. Chr. Scholen Wekerom;Dorpsplein;8;6733 AV;WEKEROM;228;EDE;Protestants-Christelijk;318461550;www.smdbwekerom.nl
40888;Stichting Catent;Rechterland;1;8024 AH;ZWOLLE;193;ZWOLLE;Rooms-Katholiek;888508680;www.catent.nl
40889;Ver. Basisond. Gem. Ten Boer;Tolhuiswierde;32;9791 JK;TEN BOER;9;TEN BOER;Protestants-Christelijk;503021571;                                                                                
40894;mijnplein, stg. bpo in Salland;Monumentstraat;55-a;8102 AK;RAALTE;177;RAALTE;Rooms-Katholiek;572352635;www.mijnplein.nl
40903;Sticht. Kathol. Onderw. Losser;Kloppenstraat;75;7581 EB;LOSSER;168;LOSSER;Rooms-Katholiek;535364271;www.skolo.nl
40928;Laurentius Stichting;Burgemeestersrand;59;2625 NV;DELFT;503;DELFT;Rooms-Katholiek;152511440;www.laurentiusstichting.nl
40934;Vivente, Stg. Chr. Prim. Ond.;Rechterland;1;8024 AH;ZWOLLE;193;ZWOLLE;Protestants-Christelijk;383556570;www.vivente.nu
40941;'De Oude Vrijheid', S.K.O.H.;Schoolstraat;38;5081 VH;HILVARENBEEK;798;HILVARENBEEK;Rooms-Katholiek;135050639;www.deoudevrijheid.nl
40945;Geref. Schoolver. Veluwe Plus;Dorresteinseweg;7-B;3817 GA;AMERSFOORT;307;AMERSFOORT;Gereformeerd vrijgemaakt;334324258;www.veluweplus.nl
40946;Stg. P.C. Onderwijs CHRONO;Erve Odinck;7-C;7773 DE;HARDENBERG;160;HARDENBERG;Protestants-Christelijk;523272821;www.chronoscholen.nl
40947;Stg BOOM;Schoolstraat;5;5061 XA;OISTERWIJK;824;OISTERWIJK;Rooms-Katholiek;135230833;www.stgboom.nl
40950;Stg. Kath. Onderw. Flevoland;Wold;2215;8225 AZ;LELYSTAD;995;LELYSTAD;Rooms-Katholiek;320225040;www.skofv.nl
40959;Primas-Scholengroep;Tramstraat;31;4371 BW;KOUDEKERKE;717;VEERE;Protestants-Christelijk;118569191;www.primas-scholengroep.nl
40964;Mij. tot Nut v Algem Oldenzaal;Hengelosestraat;31;7572 BM;OLDENZAAL;173;OLDENZAAL;Algemeen bijzonder;541530963;www.nutsschool-oldenzaal.nl
40967;Sophia Stichting;Leidsevaart;2;2215 RE;VOORHOUT;1525;TEYLINGEN;Rooms-Katholiek;252434020;www.sophiascholen.nl
40969;St. Samenw. Basissch. Alkemade;Watergang;1-b;2377 BT;OUDE WETERING;1884;KAAG EN BRAASSEM;Samenwerking PC, RK;713311767;www.ssba.net
40971;Stichting Tangent;Slimstraat;7;5071 EG;UDENHOUT;855;TILBURG;Rooms-Katholiek;135229250;www.tangent.nl
40972;Stg. primair onderwijs Fluvius;Koningstraat;27;6811 DG;ARNHEM;202;ARNHEM;Samenwerking PC, RK;263523320;www.fluvius.nl
40974;St. Kath. Bas.ond. De Veenplas;Ambroziolaan;32;2441 AD;NIEUWVEEN;569;NIEUWKOOP;Rooms-Katholiek;172570204;www.veenplas.nl
40975;Ver. Ger. Prim. Onderwijs Haal;Dorresteinseweg;7;3817 GA;AMERSFOORT;307;AMERSFOORT;Gereformeerd vrijgemaakt;334324259;www.haal.nl
40980;Stg. Alg. Bijz. Basis Onderw.;Noordzijde Haven;56;4611 GT;BERGEN OP ZOOM;748;BERGEN OP ZOOM;Algemeen bijzonder;164237557;www.abboscholen.nl
40981;Ver. Prot. Chr. Ond. Neerijnen;Van Pallandtweg;15-a;4182 CB;NEERIJNEN;304;NEERIJNEN;Protestants-Christelijk;418652156;www.vpconeerijnen.nl
40982;St. Kath. Onderwijs De Beerzen;Montfortlaan;20;5688 NM;OIRSCHOT;823;OIRSCHOT;Rooms-Katholiek;499550517;www.skobos.nl
40987;TRIADE St. Kath. prim. onderw.;Graaf Huynlaan;8;6161 EZ;GELEEN;1883;SITTARD-GELEEN;Rooms-Katholiek;464789320;www.stichtingtriade.nl
40988;Ver.Prot.Chr.Ond. Gem. Dalfsen;Brethouwerstraat;4;7721 XN;DALFSEN;148;DALFSEN;Protestants-Christelijk;529432341;www.cbsdespiegel-dalfsen.nl
40994;Stg. Evangel. Basisscholen II;Coehoornstraat;60;6811 LA;ARNHEM;202;ARNHEM;Evangelisch;263890247;www.ebs-derank.nl
40999;Stg. Kathol. Onderwijs Drenthe;Waanderweg;64-N;7812 HZ;EMMEN;114;EMMEN;Rooms-Katholiek;591667010;www.skod.nl
41000;Bisschop M”ller Stichting;Schoolstraat;2;8603 XL;SNEEK;1900;SUDWEST-FRYSLAN;Rooms-Katholiek;515560858;www.bisschopmollerstichting.nl
41001;Stg. PC-Primair Ond. M-Brabant;Hooilaan;1;4816 EM;BREDA;758;BREDA;Protestants-Christelijk;765045800;www.pcpomiddenbrabant.nl
41002;Ver. Chr. BO Menaldumadeel;De Hammeringen;41;9045 PT;BITGUMMOLE;1908;MENAMERADIEL;Protestants-Christelijk;582531684;www.cbsmooitaki.nl
41005;Stichting Noventa Onderwijs;Ried;11;9285 KK;BUITENPOST;59;ACHTKARSPELEN;Protestants-Christelijk;511542540;www.noventa.nl
41011;Stg. Scholengroep GelderVeste;Decanijeweg;3;7251 BP;VORDEN;1876;BRONCKHORST;Protestants-Christelijk;575462573;www.gelderveste.nl
41012;St. Conf. Prim. Ond. Waterland;Wielingenstraat;111;1441 ZN;PURMEREND;439;PURMEREND;Samenwerking PC, RK;299479699;www.cpow.nl
41013;Stichting ATOS;Nijmeegsestraat;1;6691 CJ;GENDT;1705;LINGEWAARD;Openbaar;481481283;www.stichtingatos.nl
41018;Stichting Fortior,;Wylrehofweg;11;5912 PM;VENLO;983;VENLO;Samenwerking PC, RK;773210002;www.fortior.nl
