Dienst;naam;Beschrijving;sub;sub;Status;grondslag;Bron;jargon;regels;actor;informatie;logistiek
34;Aanbrengen zaak;NB: door externe actor;30;Digitaal faciliteren procederen;;;;;;;;
35;Aanbrengen zaakstuk;NB: door externe actor;30;Digitaal faciliteren procederen;;;;;;;;
36;Aangeven gewenste behandelwijze;NB: door externe actor;30;Digitaal faciliteren procederen;;;;;;;;
37;Indienen correspondentie;Procedureel verzoek, mededeling, informatie;30;Digitaal faciliteren procederen;;;;;;;;
38;Inzien zaak;Inzien zaak, planning, of dossier;30;Digitaal faciliteren procederen;;;;;;;;
39;Berichten controleren op kenmerken;"Syntactische controle; logistieke gegevens";30;Digitaal faciliteren procederen;;;;;;;;
40;Berichten voorzien van kenmerken;Gegevens van de externe actor (webformulier, digitale identiteit) overnemen bij het bericht;30;Digitaal faciliteren procederen;;;;;;;;
41;Ontvangen papieren document;Het openen en sorteren van post. Tekenen voor ontvangst (koerier/aangetekende post).;31;Ontvangen en registreren (papier);;;;;;;;
42;Digitaliseren;"Het scannen van een papieren document; tekstherkenning op een document.";31;Ontvangen en registreren (papier);;;;;;;;
43;Logistieke vastlegging van ontvangst document;Datumstempel + postregistratie.;31;Ontvangen en registreren (papier);;;;;;;;
44;Document voorzien van kenmerken;Typering op enkele hoofdkenmerken, die het mogelijk maken het document te koppelen aan een dossier.;31;Ontvangen en registreren (papier);;;;;;;;
45;Bepalen behandeling;(aggregatie);;;;;;;wet- en regelgeving zijn zeer divers;behandelend actor afh wet- en regelgeving;;plannings- en werkverdelingswijzen zijn zeer divers
46;Intake;(aggregatie);45;Bepalen behandeling;;;;;wet- en regelgeving zijn zeer divers;behandelend actor afh wet- en regelgeving;;plannings- en werkverdelingswijzen zijn zeer divers
47;Controleren bericht;Controle op formele en inhoudelijke vereisten. Bericht kan zowel van procedurele als van inhoudelijke aard zijn. Let op: overlap vermijden met Digitaal faciliteren procederen;46;Intake;;;;;;;;
48;Creëren zaak;Het registreren van een zaak n.a.v. het ontvangen inleidende document/dossier;46;Intake;nieuw in 0.13;;;;;;;
49;Bepalen ontvankelijkheid;Controle op formele vereisten  om de zaak te behandelen.Controle-onderdelen: zekerheidstelling (Mulder-zaken), beroepstermijn (Bestuur),  gemaakt bezwaar (Bestuur), absolute en relatieve competentie, etc.;46;Intake;;;;;;;;
50;Doorverwijzen;Het informeren van partij(en) over de competente rechtsprekende instantie (extern d.w.z. als deze buiten de Rechtspraak ligt);46;Intake;;;;;;;;
51;Toewijzing behandelende instantie;Het toewijzen van de zaak aan het competente gerecht (ook door- en terugverwijzing);46;Intake;;;;;;;;
52;Bepalen bevoegdheid;Het bepalen of de rechtsprekende instantie bevoegd is om een zaak te behandelen (intern d.w.z. binnen de Rechtspraak);46;Intake;;;;;;;;
53;Controle behandelwijze;Het controleren of de door externe actor gewenste behandelwijze goed is.;46;Intake;;;;;;;;
54;Aanpassing/keuze behandelwijze (intern);Het aanpassen/kiezen van de zaaktypering en de behandelwijze.;46;Intake;;;;;;;;
55;Zaaksturing;zie grondplaat. Synoniem UtI VIRO: behandelplan;45;Bepalen behandeling;;;;;wet- en regelgeving zijn zeer divers;behandelend actor afh wet- en regelgeving;;plannings- en werkverdelingswijzen zijn zeer divers
56;Termijnbewaking;"Bewaking van termijnen van interne activiteiten; bewaking van termijnen van externe activiteiten (bv. verweer-/appèltermijnen) en externe processen (bv. mediation).";55;Zaaksturing;;;;;;;;
57;Behandelaars inplannen;Het verdelen van de werkvoorraad over behandelaars.;55;Zaaksturing;;;;;;;;
58;Themagerichte bundeling van zaken;bundelen (naar partij, thema, etc.);55;Zaaksturing;;;;;;;;
59;Operationele zaaksturing op zaken;"Toewijzen/afboeken activiteiten + planning daarop
werkindeling/-verdeling
keuze procedurestappen
vaststellen vervolg
verwerken procedureel bericht (gebeurtenis)
beslissen over aanhoudingsverzoek (uitstel)
voegen/splitsen";55;Zaaksturing;verwerken procedureel bericht: sturing/uitvoering?;;;;;;;
60;Operationele sturing op zaakbundels;Idem als operationele zaaksturing op zaken, maar dan voor een bundel van zaken. Beoogd effect van dit type sturing is, om met partijen de zaakbehandeling consequent themagericht te kunnen doen (dus ook t.a.v. gebeurtenissen en correspondentie).;55;Zaaksturing;;;;;;;;
61;Operationele zaaksturing op de portefeuille (werkvoorraad);Dit type sturing geeft mogelijkheden tot efficiënte aansturing van het interne werk. Inhoudelijke zaaksvoorbereiding o.b.v. een zittingslijst valt hieronder ook.;55;Zaaksturing;;;;;;;;
62;Organiseren van externe betrokkenheid;"Validatie van vertegenwoordiging door een advocaat;
Toevoeging advocaat (Straf);
Organiseren van betrokkenheid van deskundigen.";55;Zaaksturing;;;;;;;;
63;Overdracht aan appèlcollege;;55;Zaaksturing;;;;;;;;
64;Leveren operationele mgmt info;;55;Zaaksturing;;;;;;;;
65;Administratief verwerken;(aggregatie);;;;;;;;;;
66;Zittingsplanning;(aggregatie);65;Administratief verwerken;;;;;;zittingsplanning bij Straf deels door OM;;benodigde resources afh. van type zitting
67;Gegevensbeheer;(aggregatie);65;Administratief verwerken;;;;jargon is afhankelijk van het rechtsgebied;;;welke actor/rol betrokken verschilt per type proces;
68;Financiële verwerking;(aggregatie);65;Administratief verwerken;;;;;hoogte afh. wet- en regelgeving;;wel/geen griffierecht/pkv/declaraties;
69;Communiceren over zaken;(aggregatie);65;Administratief verwerken;;;;;;;wat en aan wie wordt gecommuniceerd is compleet open;
70;Dossierbeheer;(aggregatie);65;Administratief verwerken;;;;documenttypering is afh rechtsgebied;bij Straf is masterdossier verantw. OM;;;
71;Inplannen zaken op zitting;"Zorgdragen voor vulling van zittingsblokken
Zaken toewijzen aan zittingsblokken
Synoniem (straf): appointeren";66;Zittingsplanning;;;;;;;;
72;Mensen en middelen inplannen bij zitting;"Zorgdragen voor beschikbaarheid van eigen medewerkers;
Zorgdragen voor aanwezigheid tolken, getuigen. Indien partij/verdachte gedetineerd is, zorgdragen voor vervoer en informeren parketpolitie (tbv bewaking ter zitting).";66;Zittingsplanning;;;;;;;;
73;Behandeling van wijzigingsverzoeken op de planning.;;66;Zittingsplanning;;;;;;;;
75;Inschrijven nieuwe zaak;Registratie van een nieuwe zaak (ingesteld rechtsmiddel).;67;Gegevensbeheer;;;;;;;;
76;Administratief afsluiten;;67;Gegevensbeheer;;;;;;;;
77;Afboeken;Registratie van de afsluiting van een zaak.;67;Gegevensbeheer;;;;;;;;
78;Beheren referentie klantgegevens;"Het betrekken van gegevens uit basisregisters;
Het valideren en onderhouden van gegevens, gerelateerd aan de zaakbehandeling. Hieronder ook de terugmelding aan basisregisters van kennelijke onvolkomenheden;
Het zorgdragen voor compleetheid en juistheid van de gegevens. Hieronder ook het gegevensbeheer op (rechts-)personen en de aard van hun betrokkenheid.";67;Gegevensbeheer;;;;;;;;
79;Registreren verandering zaak;Administratieve vastlegging van (rol-)beslissingen of gebeurtenissen. N.B. verwerking van beslissingen en/of gebeurtenissen is ontkoppeld van de vastlegging zelf.;67;Gegevensbeheer;;;bus arch CZ;;;;;
80;Registreren van relaties tussen zaken;Het registreren van relaties tussen zaken onderling. T.b.v. clustering, eerdere uitspraken (VoVo/kort geding, eerste aanleg), of medeneming in de behandeling (Straf: open zaken, vorderingen TUL, ontnemingszaken). Moet in Behandelen en beslissen tevens kunnen worden gebruikt t.b.v. de mate waarin de eis/vordering en/of kosten worden ingewilligd. ;67;Gegevensbeheer;nieuw in 0.12;;;;;;;
81;Registreren rechtsvraag;Het onderhouden en typeren van de rechtsvraag waarvoor de zaakbehandeling plaatsvindt. Registratie van eis/vordering, weder-eis/vordering (synoniem: eis in reconventie), overige verzoeken/vorderingen. ;67;Gegevensbeheer;nieuw in 0.12. Komt nergens expliciet voor maar lijkt wel van belang voor inhoudelijke behandeling;;;;;;;
82;Vernietigen verstekvonnis bij verschijnen gedaagde;(Komt voor bij rolzittingen) Oneigenlijke functie;67;Gegevensbeheer;;;bus arch CZ;;;;;
83;Griffierecht heffen;Het bepalen van de (voorlopige) hoogte van het verschuldigde griffierecht (synoniem: vastrecht).;68;Financiële verwerking;;;;;;;;
84;Eindcontrole vastrecht;Definitieve bepaling van de hoogte van het verschuldigde griffierecht;68;Financiële verwerking;;;bus arch CZ;;;;;
85;Proceskosten heffen;"Het bepalen van de hoogte van proceskosten;
Het heffen van deze proceskosten bij betrokkene";68;Financiële verwerking;;;;;;;;
86;Zaakgerelateerde vergoedingen bepalen;Het op grond van eigen normen bepalen van te vergoeden bedragen aan betrokkenen. business object: vergoeding;68;Financiële verwerking;;;;;;;;
87;Zaakgerelateerde declaraties afhandelen;Het op grond van externe opgave bepalen van te vergoeden bedragen aan betrokkenen. business object: declaratie;68;Financiële verwerking;;;;;;;;
88;Accorderen (4-ogen principe);Het boekhoudkundig correct goedkeuren van te initiëren financiële transacties.;68;Financiële verwerking;;;;;;;;
89;Het bewaken van de afhandeling van geïnitieerde transacties;Sturing op de financiële deelprocessen in de zaakbehandeling.;68;Financiële verwerking;;;;;;;;
90;Corresponderen;Het opmaken van berichten over logistieke en administratieve aspecten van de zaakbehandeling, bijvoorbeeld met oproepingen, berichtgeving, attendering op onvolledigheid van het dossier. ;69;Communiceren over zaken;;;;;;;;
91;Aanmaken publicatie;Uitspraken anonimiseren, samenvatten en voorzien van kenmerken (bv. LJN) voor publicatie;69;Communiceren over zaken;;;;;;;;
92;Mededelen berichten;Het verzenden van berichten.;69;Communiceren over zaken;;;;;;;;
93;het verstrekken van tussentijdse beslissingen;;92;Mededelen berichten;;;bus arch CZ;;;;;
94;Het afhandelen van de uitspraak;aanbieden ter publicatie en aan het archief, inclusief anonimisering;69;Communiceren over zaken;;;bus arch CZ;;;;;
95;Dossier ter beschikking stellen aan appèlinstantie;;92;Mededelen berichten;;;;;;;;
96;Informeren partijen over uitspraak zaak;;92;Mededelen berichten;;;;;;;;
97;Informeren partijen over gebeurtenis in zaak;Bijvoorbeeld: ontvangen verweer, uitroepen zaak (= start behandeling);;;;;;;;;;
98;Het aanleggen van het dossier bij een nieuwe zaak;;70;Dossierbeheer;;;;;;;;
99;Het onderhouden van het dossier;Het bij een ingeschreven zaak voegen van een zaakstuk, versiebeheer op stukken,  ...;70;Dossierbeheer;;;;;;;;
100;Controleren van vormvereisten van zaakstukken;;70;Dossierbeheer;;;;;;;;
101;Het beveiligen van zaakstukken;Het beperken van toegang tot een zaakstuk op grond van WBP, VIR-BI, of procesrecht, en/ofl het verstrekken van toegang aan expliciet geautoriseerden (gemachtigden).;70;Dossierbeheer;nieuw in 0.12;;;;;;;
102;Schonen van dossiers;Het verwijderen van documenten die niet in het archief terecht mogen komen, bijvoorbeeld geheim te houden stukken.;70;Dossierbeheer;;;;;;;;
103;Archiveren;Overdracht aan de archivaris/het archief voor daadwerkelijke archivering;70;Dossierbeheer;;;;;;;;
104;Opstellen beleg dossier;Dossierbeheer gericht op overdracht van dat dossierdeel dat voor behandeling in appèl benodigd is;70;Dossierbeheer;;;bus arch CZ;;;;;
105;Faciliteren van inzage in dossiers;;70;Dossierbeheer;;;bus arch CZ;;;;;
106;Inhoudelijk voorbereiden;"bestuderen stukken voor uitspraak; vooronderzoek";;;;;;;juridische afwegingen zeer divers;rolflexibiliteit vereist;differentiatie nav zwaarte zaak;
107;Controleren op en zorgdragen voor het voldoen aan voorwaarden voor inhoudelijke behandeling;"Het dossier moet volledig zijn om tot inhoudelijke behandeling over te kunnen gaan. Daarnaast moeten zaakstukken worden getoetst aan formaliteiten (rechtsgebied- en/of zaakstuksoort-specifiek). Verzoeken tot aanvulling verlopen via Communiceren over zaken; Termijnbewaking daarop verlooopt via Zaaksturing";106;Inhoudelijk voorbereiden;in 0.12 verplaatst van Dossierbeheer;;;;;;;
108;Het bestuderen van het dossier.;Het opbouwen van het feitbeeld.;106;Inhoudelijk voorbereiden;;;;;;;;
109;Het voorbereiden van de zitting.;;106;Inhoudelijk voorbereiden;;;;;;;;
110;Het maken van aantekeningen, vragen en samenvattingen voor de behandeling;Synoniem: het maken van een instructie.;106;Inhoudelijk voorbereiden;;;;;;;;
111;Het maken van een conceptuitspraak;Het opstellen van een conceptuitspraak, voorafgaand aan inhoudelijke behandeling, opdat de behandeling zelf snel tot uitspraak kan leiden.;106;Inhoudelijk voorbereiden;;;;;;;;
112;Het zoeken van relevante rechtsbronnen bij het dossier;;106;Inhoudelijk voorbereiden;;;bus arch CZ;;;;;
113;Behandelen en beslissen;(aggregatie);;;;;;jargon is afhankelijk van het rechtsgebied;juridische afwegingen en gebeurtenissen zeer divers;EK/MK;diversiteit in type beslissingen;diversiteit in wijze van inhoudelijke behandeling: comparitie, schriftelijk, verstek, etc.
114;Uitvoeren mediation;De rechter kan partijen mediation voorstellen. De zaak wordt dan overgedragen aan een mediator en aangehouden.;113;Behandelen en beslissen;;;;;;;;
115;Beslissen over zaak op zitting;Op rolzitting behandelen van aangeleverde post, stukken. Bepalen vervolgstap. ;113;Behandelen en beslissen;hernoemen anders verwarring met Communiceren;;bus arch CZ;;;;;
116;Behandelen gebeurtenissen ter zitting;Het behandelen van verzoeken/vorderingen (ook wel gebeurtenissen of incidenten genoemd) van betrokkenen ter zitting. Dat kunnen alle verzoeken/vorderingen zijn die aan de strafzaak/het geschil verbonden zijn (wraking, invrijheidstelling/hechtenis, voegen, niet-ontvankelijkheid, sepot/doorhaling, wijziging eis).;113;Behandelen en beslissen;nieuw in 0.12;;;;;;;
117;Vastleggen behandelstap;Het vastleggen van handelingen door partijen en beslissingen ter zitting (= proces verbaal). Controle op juiste vastlegging hiervan, ondertekening. Idem dito voor uitgevoerd onderzoek anders dan ter zitting (re- en dupliek, descente).;113;Behandelen en beslissen;nieuw in 0.12. Hoort functioneel bij Gegevensbeheer;;;;;;;
118;Onderzoek ter zitting;Het horen van OvJ/eiser, verdachte/verweerder, slachtoffer(s)/belanghebbende(n), getuige(n),  deskundige(n). Komt voor bij Straf en Bestuur.;113;Behandelen en beslissen;;;;;;;;
119;Meedelen termijn uitspraak;;113;Behandelen en beslissen;;;;;;;;
120;Raadkameren;Komt voor bij Straf en Bestuur.;113;Behandelen en beslissen;;;;;;;;
121;Uitspraak doen;;113;Behandelen en beslissen;;;;;;;;
122;Onderzoeksinstrumenten inzetten;Ter zitting kan worden besloten tot inzet van onderzoeksinstrumenten zoals re- en dupliek, beoordeling door deskundige, descente.;113;Behandelen en beslissen;;;;;;;;
123;Het maken van aantekeningen van de zitting;Feitelijke verslaglegging van de zitting. Vindt plaats tijdens de zitting.;113;Behandelen en beslissen;;;;;;;;
124;Inhoudelijk uitwerken;;;;;;;;juridische afwegingen zeer divers;rolflexibiliteit vereist;differentiatie nav zwaarte zaak en type beslissingen;
125;Het opstellen van de uitspraak/een beslissing;"Directe documentopmaak of document-workflow: concept, review/meelezen, wijzigen, definitief maken, tekenen.
business objecten: alle tussentijdse en eindbeslissingen in de zaakbehandeling: aanhouding, (tussen-)vonnis, (tussen-)beschikking, uitspraak, extract uitspraak, aantekening mondeling vonnis (AMV), beslissing geheimhouding zaakstuk, opdracht deskundigenonderzoek, et cetera.";124;Inhoudelijk uitwerken;;;;;;;;
126;Het kenmerken van de uitspraak;"Toekenning van een unieke identifier (ECLI); aanbrengen van citaties en relaties naar uitspraken in eerdere aanleg; anonimiseren";124;Inhoudelijk uitwerken;nieuw in 0.13 ;;PSA NPI;;;;;
127;Het overhandigen van de uitspraak/een beslissing;business interface: alleen papier.business objecten: Grosse (gestempeld en ondertekend afschrift van uitspraak), minuut (originele uitspraak). Indien per post: aangetekend.;92;Mededelen berichten;in 0.12 verplaatst van Inhoudelijk uitwerken;;;;;;;
128;Het voorbereiden van publicatie;Beoordelen publicatiewaardigheid, anonimiseren;124;Inhoudelijk uitwerken;;;PSA NPI;;;;;
129;Toezicht;(aggregatie);;;;;;alle rechtsgebieden kennen hun eigen jargon;juridische afwegingen en gebeurtenissen zijn divers;bv RC, CvT;gebruikt diverse registers, dossiers;diversiteit in wijze van inhoudelijke behandeling: raadkamer, schriftelijk
130;Gerechtelijk vooronderzoek;(aggregatie);129;Toezicht;;;;;;;;
131;Toezicht straf: tenuitvoerlegging;(aggregatie);129;Toezicht;;;;;;;;
132;Toezicht civiel;(aggregatie);129;Toezicht;;;;;;;;
133;Horen van getuigen en betrokkenen.;;130;Gerechtelijk vooronderzoek;;;;;;;;
134;Laten uitvoeren van psychiatrisch onderzoek.;;130;Gerechtelijk vooronderzoek;;;;;;;;
135;Verzoeken in het vooronderzoek beoordelen;;130;Gerechtelijk vooronderzoek;;;;;;;;
136;Op verzoeken beslissen;;130;Gerechtelijk vooronderzoek;;;;;;;;
137;Meerderjarigenbeschermingsmaatregelen als curatele, bewind en mentorschap;;132;Toezicht civiel;;;;;;;;
138;Toezicht op vermogensbeheer;;132;Toezicht civiel;;;;;;;;
139;Controle op genomen meerderjarigenbeschermingsmaatregelen;;132;Toezicht civiel;;;;;;;;
140;Controleren van bewindvoerders insolventies.;;132;Toezicht civiel;;;;;;;;
141;Controleren van curatoren;;132;Toezicht civiel;;;;;;;;
142;Toezicht houden op penentiaire inrichtingen, jeugdinrichtingen en TBS-klinieken.;;;;;;;;;;;
143;Behandelen van klachten.;;;;;;;;;;;
144;Advies aan de inrichtingen.;;;;;;;;;;;
145;Ondersteuning aan de commissies van Toezicht.;;;;;;;;;;;
146;Kennismanagement;;;;;;;alle rechtsgebieden kennen hun eigen jargon;;;;
147;Jurisprudentie;;;;;;;;;;;
148;Inzage in uitspraken;;;;;;;;;;;
149;Beheer/gebruik van kennis;;;;;;;;;;;
150;Beheren documenten;;;;;;;;;;;
151;Externe radar;;;;;;;;;;;
152;Het ontsluiten van externe jurisprudentie zoals uitspraken van de Hoge Raad en het Europese Hof van Justitie.;;147;Jurisprudentie;;;;;;;;
153;Het samenvatten en becommentariëren van uitspraken van het eigen gerecht.;;147;Jurisprudentie;;;;;;;;
154;Het geven van kenmerken en waarderingen aan uitspraken uit rechtsbronnen.;Toevoegen extra informatie, verbanden tussen uitspraken, vindplaatsen.;147;Jurisprudentie;;;PSA NPI;;;;;
155;Het vinden van uitspraken;;148;Inzage in uitspraken;;;;;;;;
156;Verzamelen en registreren van informatie;;;;;;;;;;;
157;Structureren en ordenen van informatie;;;;;;;;;;;
158;Toegankelijk maken van informatie;;;;;;;;;;;
159;Terugvinden en gebruiken van informatie;;;;;;;;;;;
160;Het beheren en bewaren van documenten.;;150;Beheren documenten;;;;;;;;
161;Het ter beschikking stellen van documenten.;;150;Beheren documenten;;;;;;;;
162;Het geven van toegang tot documenten.;;150;Beheren documenten;;;;;;;;
163;Het kunnen vinden van documenten.;;150;Beheren documenten;;;;;;;;
164;Het digitaliseren van documenten.;;150;Beheren documenten;;;;;;;;
165;Het indexeren, scannen en converteren van documenten;;150;Beheren documenten;;;;;;;;
166;"Het onderhouden van kennisrelaties met externe instanties zoals universiteiten en hogescholen;";;151;Externe radar;;;;;;;;
167;"Het onderhouden van informatierelaties met bijvoorbeeld het landsbestuur, de volksvertegenwoordiging en de pers;";;151;Externe radar;;;;;;;;
168;"Het bijdragen aan externe verkenningen en onderzoeken;";;151;Externe radar;;;;;;;;
169;Het betrekken van externe instanties bij eigen verkenningen en onderzoeken;;151;Externe radar;;;;;;;;
170;Bedrijfsvoering;;;;;;;;;;;
171;Financiële administratie;;170;Bedrijfsvoering;;;;;;;;
172;Personeel en organisatie;;170;Bedrijfsvoering;;;;;;;;
173;Facilitair en huisvesting;;170;Bedrijfsvoering;;;;;;;;
174;Inkoop en logistiek;;170;Bedrijfsvoering;;;;;;;;
175;Archiefbeheer;;170;Bedrijfsvoering;;;;;;;;
176;Beveiliging;;170;Bedrijfsvoering;;;;;;;;
177;Functioneel beheer;;170;Bedrijfsvoering;;;;;;;;
178;Landelijk ICT beheer;;170;Bedrijfsvoering;;;;;;;;
179;Financiële planning;;171;Financiële administratie;;;;;;;;
180;Budgettering;;171;Financiële administratie;;;;;;;;
181;Crediteuren en debiteuren;;171;Financiële administratie;;;;;;;;
182;Financiële verantwoording;;171;Financiële administratie;;;;;;;;
183;Verwerken van vorderingen n.a.v. griffierecht;;171;Financiële administratie;;;;;;;;
184;Verwerken van betalingen aan tolken, deskundigen;;171;Financiële administratie;;;;;;;;
185;Doorgeven van gedane betaling griffierecht;Het ontvangen van het verschuldigde griffierecht.;171;Financiële administratie;;;;;;;;
186;Het aannemen, ontslaan van medewerkers;;172;Personeel en organisatie;;;;;;;;
187;Het opbouwen van een personeelsdossier;;172;Personeel en organisatie;;;;;;;;
188;Opleiden en scholen;;172;Personeel en organisatie;;;;;;;;
189;RAIO-selectie;Landelijke activiteiten op het gebied van werving, selectie, aanstelling, benoeming en opleiding van het personeel bij de gerechten (Raad, tekst uit Wet RO);172;Personeel en organisatie;;Wet RO art 91 lid 1;;;;;;
190;Zorgdragen voor huisvesting;;173;Facilitair en huisvesting;;;;;;;;
191;Zorgdragen voor facilitaire diensten;;173;Facilitair en huisvesting;;;;;;;;
192;Het onderhouden en beheren van zittingszalen.;;173;Facilitair en huisvesting;;;;;;;;
193;Het aanbieden van faciliteiten in zittingszalen.;;173;Facilitair en huisvesting;;;;;;;;
194;Het toewijzen en inplannen van zalen en zittingen.;(VIRO: beschikbaarstellen zittingsruimte);173;Facilitair en huisvesting;;;;;;;;
195;Het inzage geven van de zaal- en zittingsplanning;;173;Facilitair en huisvesting;;;;;;;;
196;Contractbeheer;;174;Inkoop en logistiek;;;;;;;;
197;Voorraadbeheer;;174;Inkoop en logistiek;;;;;;;;
198;Inkoopprocessen;;174;Inkoop en logistiek;;;;;;;;
199;Behoefteninventarisatie;;174;Inkoop en logistiek;;;;;;;;
200;Verdeling en transport;;174;Inkoop en logistiek;;;;;;;;
201;Innemen, opbergen en indexeren van documenten;;175;Archiefbeheer;;;;;;;;
202;Onderhouden van de archiefruimte;;175;Archiefbeheer;;;;;;;;
203;Omzetten papieren documenten naar digitale versies;;175;Archiefbeheer;;;;;;;;
204;Beschikbaar stellen van gearchiveerde documenten;;175;Archiefbeheer;;;;;;;;
205;Schoning;;175;Archiefbeheer;;;;;;;;
206;Overdracht naar Nationaal archief;;175;Archiefbeheer;;;;;;;;
207;Het beveiligen van gebouwen en rechtszalen;;176;Beveiliging;;;;;;;;
208;Toegangscontrole in de gerechtsgebouwen;;176;Beveiliging;;;;;;;;
209;Bewaking en beveiliging van gedetineerden;;176;Beveiliging;;;;;;;;
210;Verlenen van autorisaties aan gebruikers;;177;Functioneel beheer;;;;;;;;
211;Beheren bedrijfsregels;Voldoen aan wettelijke en overige verplichtende regels;177;Functioneel beheer;;;;;;;;
212;Beheren tabellen en instellingen;zie uti viro (heette daar beheren VIRO gegevens);177;Functioneel beheer;;;;;;;;
213;Kanaliseren van wensen en verzoeken;;177;Functioneel beheer;;;;;;;;
214;Beheren informatiemodellen;Woordenboeken, taxonomieën, semantische modellen;177;Functioneel beheer;;;PSA NPI;;;;;
215;Uitvoeren technisch beheer; netwerken, routers, switches;178;Landelijk ICT beheer;;;;;;;;
216;uitvoeren applicatiebeheer ;op software, applicaties en pakketten;178;Landelijk ICT beheer;;;;;;;;
217;uitvoeren technisch applicatiebeheer;;178;Landelijk ICT beheer;;;;;;;;
218;monitoren van ICT-infrastructuur;;178;Landelijk ICT beheer;;;;;;;;
219;helpdesk ;;178;Landelijk ICT beheer;;;;;;;;
220;Aansturing;;;;;;;;;;;
221;Besturing;;220;Aansturing;;;;;;;;
222;Informatie analyseren;;220;Aansturing;;;;;;;;
223;Prognose;;220;Aansturing;;;;;;;;
224;Planning en verantwoording;"Toezicht op de uitvoering van de begroting door de gerechten;
toezicht op de bedrijfsvoering bij de gerechten";220;Aansturing;;Wet RO art 91 lid 1;;;;;;
225;Bekostiging;LAMICIE;220;Aansturing;;;;;;;;
226;Sturen op kwaliteit;;220;Aansturing;;;;;;;;
227;Inrichting processen;;220;Aansturing;;;;;;;;
