Wettelijke taak;naam;Omschrijving;sub;sub;grondslag;Bron
20;Laten uitvoeren van psychiatrisch onderzoek;Toestemming voor het laten uitvoeren van psychiatrisch onderzoek van een gedetineerde verdachte.;18;Gerechtelijk vooronderzoek;;grondplaat
21;Verzoeken in het vooronderzoek beoordelen;Toestemming onderzoekshandeling, opsporingshandeling, voorlopige hechtenis (strafrecht).;18;Gerechtelijk vooronderzoek;;grondplaat
22;Behandelen van een burgerlijke zaak;De civiele rechter wordt ook wel burgerlijk rechter genoemd. Hij behandelt zaken tussen twee partijen. Dat kunnen natuurlijke personen zijn, maar ook rechtspersonen zoals stichtingen en bedrijven. ;;;Wet RO art 42;
23;Behandelen van een strafzaak;De strafrechter beoordeelt of iemand een strafbaar feit heeft gepleegd en daarvoor gestraft moet worden. ;;;Wet RO art 45;
24;Strafrecht algemeen;Zaakbehandeling vallend onder het strafrecht.;23;Behandelen van een strafzaak;Wet RO art 45, lid 1;
25;Behandelen vordering kostenvergoeding strafzaak;Het behandelen van een vordering tot vergoeding van kosten en schaden ten behoeve van de benadeelde partij in strafzaken;23;Behandelen van een strafzaak;Wet RO art 45, lid 2;
26;Behandelen van een economisch delict;Behandelen van een economisch delict;23;Behandelen van een strafzaak;Wet RO art 52;
27;Behandelen van een klacht op niet-vervolging;Dit zijn zaken waarin een klacht van een belanghebbende behandeld wordt nadat een Officier van Justitie besloten heeft om niet tot vervolging over te gaan en de belanghebbende het daar niet mee eens is.;23;Behandelen van een strafzaak;Wet RO art 68 (militair);
28;Militair strafrecht;Militair strafrecht;23;Behandelen van een strafzaak;Wet RO art 55;
29;Personen- en familierecht;Familie- en jeugdrecht (huwelijk, voogdij/gezag, echtscheiding);22;Behandelen van een burgerlijke zaak;;wikipedia
30;Behandelen van een kinderzaak;Behandelen van een kinderzaak;;;Wet RO art 53;
31;Handelsrecht;Verzameldienst voor alle diensten Handelsrecht;22;Behandelen van een burgerlijke zaak;;
32;Rechtspersonenrecht;Ondernemings- en faillissementsrecht;31;Handelsrecht;;wikipedia
33;Verbintenissenrecht;Pacht-, huur- en arbeidszaken;31;Handelsrecht;;wikipedia
34;Goederenrecht;Eigendomszaken, vermogenszaken (intellectuele eigendom, auteursrecht);31;Handelsrecht;;wikipedia
35;Kwekersrecht;Zaken als bedoeld in artikel 78, eerste en tweede lid, van de Zaaizaad- en plantgoedwet 2005;34;Goederenrecht;Wet RO art 55a;
36;Legaliseren;Het verlenen van rechtsgeldigheid  aan benoemingen of documenten.;;;;
37;Het verstrekken van een apostille;De rechtbank kan private documenten legaliseren (rechtsgeldigheid verlenen in het buitenland) d.m.v. het verstrekken van een apostille. ;36;Legaliseren;;
38;Beëdigen;"Beëdiging van personeel van hoofd en lokaalspoorwegen; personeel stadsspoorwegen, raccordementsbeambten; beëdiging van: advocaten, ambtenaren van de burgerlijke stand, ambtenaren van de reclassering, gerechtsdeurwaarders, leden van het bureau financieel toezicht, leden van de pachtkamers, notarissen en vertalers. Aan het gerechtshof is opgedragen de beëdiging van de voorzitter van het medisch tuchtcollege in het ressort.";36;Legaliseren;in bewerking: naar info-objecten;
39;Oordelen in hoger beroep;Het oordelen in hoger beroep over de daarvoor vatbare vonnissen, beschikkingen en uitspraken in burgerlijke zaken, strafzaken en belastingzaken;;;Wet RO art 60, lid 1;
40;Oordelen in hoger beroep over vordering kostenvergoeding strafzaak;Het behandelen van een vordering tot vergoeding van kosten en schaden ten behoeve van de benadeelde partij in strafzaken;;;Wet RO art 60, lid 2;
41;Het behandelen van jurisdictiegeschillen tussen rechtbanken;Het behandelen van jurisdictiegeschillen tussen rechtbanken;;;Wet RO art 62;
42;;;;;;
43;Niet-primaire taken:;;;;;
44;Het in samenhang beslechten van rechtelijke geschillen;Wanneer er meerdere zaken rond een persoon of probleem spelen, bundelt de rechter, ongeacht het rechtsgebied, deze zoveel mogelijk om tegenstrijdige uitspraken rond een persoon/probleem te voorkomen en het conflict of het complex van conflicten snel en effectief op te lossen (thematische benadering).;;;Business collaboration;
45;Het behandelen van klachten;Het registreren, verwerken en afhandelen van klachten uit de samenleving over het functioneren van de rechtspraak. ;;;;grondplaat
46;Publieksvoorlichting;Het verstrekken van informatie aan belangstellenden van de Rechtspraak. ;;;;grondplaat
47;Het publiceren van uitspraken;De Rechtspraak dient te zorgen voor de kenbaarheid van uitspraken, en transparantie van haar handelen. Daartoe worden alle rechterlijke uitspraken van enige algemene relevantie gepubliceerd op het internet.;;;;grondplaat
48;Het faciliteren van kennisdeling (jurisprudentie);De Rechtspraak beheert en ontsluit uitspraken en jurisprudentie, ook voor rechtsprekende instanties die niet onder het beheer van de Raad  voor de rechtspraak vallen.;;;;PSA NPI
49;TO DO: services bedrijfsvoering;;;;;
50;TO DO: services aansturing (CBS e.d.);;;;;
