ORG_OND_CODE;PROD_CODE_VRTG;B_DAT_PROD_ORG;E_DAT_PROD_ORG;TYD_STEMPEL
VRD;TENAAM;20130215;29991231;3570014518
VRD;TRANSAL;20090220;29991231;3444209820
VRD;TRANSAZ;20090220;29991231;3444209829
VRD;TRANSBL;20090220;29991231;3444209797
VRD;TRANSBZ;20090220;29991231;3444209808
VRD;TRANSC;20090220;29991231;3444209838
VRD;TRANSM;20100908;29991231;3493028455
VRD;TRANSP;20090220;29991231;3444209789
VRD;TRANSTQ;20090220;29991231;3444209887
VRD;TRANSZL;20070718;29991231;3393831542
VRD;VAA;20140804;29991231;3616226875
VRD;VAB;20140804;29991231;3616226885
VRD;VAC;20140804;29991231;3616226976
VRD;VACVO;20141208;29991231;3627119699
VRD;VAD;20140804;29991231;3616226991
VRD;VAM;20140804;29991231;3616227005
VRD;VAP;20140804;29991231;3616226864
VRD;VERWEXP;20100728;29991231;3489405569
VRD;VERWGASB;20150720;29991231;3646455534
VRD;VERWGASP;20150720;29991231;3646455516
VRD;VERWO-V;20100728;29991231;3489405582
VRD;VERWSLP;20100728;29991231;3489405597
VRD;VERWSLP55;20100910;29991231;3493182272
VRD;VLKENT;20100910;29991231;3493182248
VRD;VNWNKB;20140624;29991231;3612689615
VRD;VVC;20131227;29991231;3597216882
VRD;VVK;20100908;29991231;3493028564
VRD;VVT;20131230;29991231;3597488297
VRD;WYZAFMAL;20130215;29991231;3570014535
VRD;WYZAFMAZ;20130215;29991231;3570014551
VRD;WYZAFMBL;20130215;29991231;3570014570
VRD;WYZAFMBZ;20130215;29991231;3570014579
VRD;WYZASSENA;20130215;29991231;3570014596
VRD;WYZASSENBZ;20100728;29991231;3489405675
VRD;WYZBPMBEL;20131227;29991231;3597229994
VRD;WYZBPMM;20100728;29991231;3489405696
VRD;WYZBPMZ;20131227;29991231;3597229572
VRD;WYZBYZH;20130215;29991231;3570014634
VRD;WYZINRICHT;20100811;29991231;3490616131
VRD;WYZMASSAA;20100820;29991231;3491372548
VRD;WYZMASSAB;20100820;29991231;3491370364
VRD;WYZMASSAP;20100820;29991231;3491367487
VRD;WYZMAXSN;20100728;29991231;3489405779
VRD;WYZMILGEG;20120926;29991231;3557747697
VRD;WYZMOTC;20100728;29991231;3489405790
VRD;WYZMOTORB;20130215;29991231;3570014653
VRD;WYZMOTORM;20120926;29991231;3557749818
VRD;WYZMOTORP;20120926;29991231;3557749301
VRD;WYZOMBALZ;20070718;29991231;3393831542
VRD;WYZOMBAZL;20070718;29991231;3393831542
VRD;WYZOMBBLP;20080515;29991231;3419916929
VRD;WYZOMBBLZ;20100728;29991231;3489405827
VRD;WYZOMBBZL;20100728;29991231;3489405835
VRD;WYZOMBPBL;20070718;29991231;3393831542
VRD;WYZPLVIN;20130215;29991231;3570014676
VRD;WYZTMMA;20130215;29991231;3570014690
VRD;WYZTMMB;20130215;29991231;3570014699
VRD;WYZTREKBL;20130215;29991231;3570014713
VRD;WYZTREKP;20130215;29991231;3570014726
VRD;WYZTYPEAL;20100728;29991231;3489405901
VRD;WYZTYPEAZ;20100728;29991231;3489405911
VRD;WYZTYPEBL;20100728;29991231;3489405921
VRD;WYZTYPEBZ;20100728;29991231;3489405928
VRD;WYZTYPEC;20100728;29991231;3489405939
VRD;WYZTYPEM;20100728;29991231;3489405948
VRD;WYZTYPEP;20100728;29991231;3489405957
VRD;WYZZITB;20100811;29991231;3490619814
VRD;WYZZITC;20100811;29991231;3490620909
VRD;WYZZITM;20100811;29991231;3490618966
VRD;WYZZITP;20100811;29991231;3490617639
VT;1EAFGAL;20090220;29991231;3444209568
VT;1EAFGAZ;20090220;29991231;3444209580
VT;1EAFGBL;20090220;29991231;3444209539
VT;1EAFGBZ;20090220;29991231;3444209552
VT;1EAFGC;20140114;29991231;3598791153
VT;1EAFGM;20140114;29991231;3598791174
VT;1EAFGP;20140114;29991231;3598791115
VT;1EAFGTQ;20090220;29991231;3444209596
VT;ENDWOK;20131224;29991231;3596975001
VT;EXPVRF;20131230;29991231;3597488945
VT;HERACT;20130215;29991231;3570014386
VT;OPNTEL;20131209;29991231;3595674641
VT;OPVADVIESP;20090220;29991231;3444209748
VT;TENAAM;20130215;29991231;3570014518
VT;TRANSAL;20090220;29991231;3444209820
VT;TRANSAZ;20090220;29991231;3444209829
VT;TRANSBL;20090220;29991231;3444209797
VT;TRANSBZ;20090220;29991231;3444209808
VT;TRANSC;20090220;29991231;3444209838
VT;TRANSM;20100908;29991231;3493028455
VT;TRANSP;20090220;29991231;3444209789
VT;TRANSTQ;20090220;29991231;3444209887
VT;VERWGASB;20150720;29991231;3646455534
VT;VERWGASP;20150720;29991231;3646455516
VT;WYZBPMBEL;20131227;29991231;3597229994
VT;WYZBPMM;20100728;29991231;3489405696
VT;WYZBYZH;20130215;29991231;3570014634
VT;WYZINRICHT;20100811;29991231;3490616131
VT;WYZMASSAA;20100820;29991231;3491372548
VT;WYZMASSAB;20100820;29991231;3491370364
VT;WYZMASSAP;20100820;29991231;3491367487
VT;WYZPLVIN;20130215;29991231;3570014676
VT;WYZZITB;20100811;29991231;3490619814
VT;WYZZITC;20100811;29991231;3490620909
VT;WYZZITM;20100811;29991231;3490618966
VT;WYZZITP;20100811;29991231;3490617639
